0,動詞
1,…の存在［正しさ］を認める,acknowledge
2,…を調節する%2C順応する,adjust
3,…にアドバイスする［勧める］,advise
4,…を楽しませる,amuse
5,…を分析する,analyze
6,…に〜だとして安心させる,assure
7,…をびっくりさせる,astonish
8,…を乞う,beg
9,…を曲げる,bend
10,まばたきをする／まばたき,blink
11,お辞儀をする／お辞儀,bow
12,…を放送する,broadcast
13,破裂する%2C…を破裂させる,burst
14,…を埋める,bury
15,…を捕える,capture
16,…をやめる%2C終わる,cease
17,…を祝う,celebrate
18,…を特徴づける,characterize
19,しがみつく%2C固執する,cling
20,＜罪など＞を犯す,commit
21,…を限る%2C…を閉じこめる,confine
22,…を確認する,confirm
23,…を直面させる,confront
24,…を構成する,constitute
25,…を変える%2C変わる,convert
26,…を耕作する%2C…を栽培する,cultivate
27,…を治療する,cure
28,思い切って…する%2C生意気にも…する,dare
29,…を遅らせる,delay
30,…を配達する,deliver
31,…を落胆させる,depress
32,…を考え出す,devise
33,減る%2C…を減らす,diminish
34,一致しない,disagree
35,…をがっかりさせる,discourage
36,…を支配する,dominate
37,住む,dwell
38,…を取り除く,eliminate
39,…を恥ずかしがらせる%2C…にばつの悪い思いをさせる,embarrass
40,…に耐える,endure
41,…を確実にする%2C…を保証する,ensure
42,…に備え付ける［身につけさせる］,equip
43,進化する,evolve
44,…を疲れ果てさせる%2C…を使い果たす,exhaust
45,…を表に出す%2C…を展示する%2C,exhibit
46,…を魅了する,fascinate
47,浮かぶ,float
48,…を折りたたむ,fold
49,…を設立する,found
50,…を果たす%2C…をかなえる,fulfill
51,じっと見つめる,gaze
52,…を発生させる,generate
53,…をつかむ%2C…を理解する,grasp
54,…を保証する,guarantee
55,…の警護［監視］をする／警護者%2C監視者,guard
56,…を詳しく説明する,illustrate
57,…を模倣する,imitate
58,…を課す,impose
59,傾いている%2C傾向がある,inclined
60,…を産業化［工業化］する,industrialize
61,…を鼓舞する,inspire
62,干渉する%2C阻害する,interfere
63,…の邪魔をする%2C…を中断させる,interrupt
64,（…を）調査する,investigate
65,…を正当化する,justify
66,跳ぶ,leap
67,溶ける%2C…を溶かす,melt
68,…を誤解する,misunderstand
69,…の世話を怠る%2C…を省みない,neglect
70,うなずく,nod
71,…の気分を害する,offend
72,起こる%2C生じる,originate
73,…を見落とす%2C…を見過ごす,overlook
74,…に金を借りている,owe
75,…を注ぐ,pour
76,祈る,pray
77,進む,proceed
78,抗議する／抗議,protest
79,階級%2C地位,rank
80,…を和らげる%2C…から取り除く,relieve
81,…を依頼する／依頼,request
82,…を拒む%2C…に抵抗する,resist
83,…を解決する%2C決心する,resolve
84,…を制限する,restrict
85,…を保持する,retain
86,論評%2C批評／…を論評する%2C…を検討する,review
87,…を台無しにする,ruin
88,…を怯えさせる%2C…をびっくりさせる,scare
89,…をまき散らす,scatter
90,金切り声を上げる,scream
91,…を確保する%2C…を安全にする／ゆるぎない,secure
92,専門にする%2C専攻する,specialize
93,…を台無しにする,spoil
94,…を強化する,strengthen
95,…を代わりに使う／代わり,substitute
96,…を抑える,suppress
97,…を飲み込む,swallow
98,…を掃く%2C…を掃くように動かす,sweep
99,…の跡［起源］を辿る／跡%2C痕跡,trace
100,…を経験する,undergo
101,…を（強く）促す［要請する］／願望,urge
102,ぶらつく%2C放浪する,wander
103,…の重さがある,weigh
104,ささやく,whisper
105,大声を上げる,yell
0,名詞
1,不在%2C欠如,absence
2,（ことばの）なまり%2C抑揚,accent
3,受け入れ,acceptance
4,アクセス%2C使用［閲覧］する機会［権利］,access
5,知り合い,acquaintance
6,愛情,affection
7,攻撃性,aggression
8,懸念／…に懸念を抱かせる,alarm
9,夢%2C大望,ambition
10,食欲,appetite
11,応用%2C適用,application
12,約束,appointment
13,準備%2C取り決め,arrangement
14,運動選手,athlete
15,…通り%2C大通り,avenue
16,（音楽の）バンド%2C一団,band
17,国境,border
18,重荷%2C負担,burden
19,政治的運動,campaign
20,候補者%2C志願者,candidate
21,現金,cash
22,部門%2C部類,category
23,ほら穴,cave
24,細胞,cell
25,魅力／…を魅了する,charm
26,同僚,colleague
27,植民地,colony
28,委員会,committee
29,連れ%2C仲間,companion
30,比較,comparison
31,不満,complaint
32,複雑さ,complexity
33,構成%2C楽曲,composition
34,混乱,confusion
35,建設%2C構造,construction
36,契約,contract
37,しきたり%2C（大規模な）会議,convention
38,勇気,courage
39,衝突／衝突する,crash
40,乗組員%2C一団,crew
41,批評家%2C批判者,critic
42,説明%2C描写,description
43,方言%2Cなまり,dialect
44,威厳%2C尊厳,dignity
45,不利%2Cデメリット,disadvantage
46,争議%2C口論,dispute
47,分割%2C部門,division
48,離婚,divorce
49,文書,document
50,生態（学）,ecology
51,経済学,economics
52,編集者,editor
53,感情,emotion
54,皇帝%2C天皇,emperor
55,会社%2C事業,enterprise
56,情熱%2C熱意,enthusiasm
57,平等,equality
58,時代,era
59,例外,exception
60,幹部%2C重役,executive
61,費用%2C出費%2C犠牲,expense
62,爆発,explosion
63,絶滅,extinction
64,施設%2C設備,facility
65,妖精,fairy
66,炎,flame
67,運%2C財産,fortune
