0,動詞
79,飛行%2C（飛行機の）便,flight
80,焦点／…を集中する,focus
81,燃料,fuel
82,機能／機能する,function
83,天才,genius
84,目標%2C目的,goal
85,文法,grammar
86,給付金／…を与える,grant
87,案内人%2C案内書／…を案内する,guide
88,害／…を害する,harm
89,高さ,height
90,（一つ屋根の下で暮らす）家族%2C家,household
91,人間%2C人間性,humanity
92,理想／理想の,ideal
93,想像,imagination
94,移民,immigrant
95,影響%2C衝撃,impact
96,印象,impression
97,所得,income
98,独立%2C自立,independence
99,指示%2C指導,instruction
100,知能%2C諜報,intelligence
101,項目,item
102,旅,journey
103,喜び,joy
104,判断,judgement
105,実験室,laboratory
106,風景,landscape
107,笑い,laughter
108,余暇,leisure
109,授業%2C教訓,lesson
110,運%2C幸運,luck
111,部長%2C支配人%2C監督,manager
112,やり方%2C方法,manner
113,主人%2C達人／…を習得する,master
114,試合／…と調和する,match
115,事柄／重要である,matter
116,商人,merchant
117,(故意の）殺人／…を（故意に）殺す,murder
118,必要%2C必要なもの,necessity
119,近所,neighborhood
120,考え%2C考え方,notion
121,小説／新奇な,novel
122,観察,observation
123,（特定の）時%2C場合,occasion
124,職業,occupation
125,操作%2C運転%2C手術,operation
126,組織%2C団体,organization
127,起源,origin
128,痛み,pain
129,（文章の）一節%2C通路,passage
130,乗客,passenger
131,人格%2C性格%2C（芸能界などの）有名人,personality
132,現象,phenomenon
133,哲学者,philosopher
134,哲学,philosophy
135,物理学,physics
136,たくさん,plenty
137,政治家,politician
138,政治,politics
139,人気,popularity
140,存在,presence
141,利益,profit
142,計画%2C事業,project
143,証拠,proof
144,財産%2C所有地,property
145,比率%2C割合,proportion
146,ことわざ,proverb
147,心理学者,psychologist
148,量,quantity
149,反応　,reaction
150,地域%2C地方,region
151,宗教,religion
152,ことば%2C感想／…だと述べる,remark
153,評判,reputation
154,革命,revolution
155,褒美%2C報償／…に褒美［報償］を与える,reward
156,列／…をこぐ,row
157,安心%2C安全%2C治安,security
158,自己%2C自我,self
159,変化／…を変える,shift
160,不足,shortage
161,見ること%2C視力,sight
162,重要性%2C意義,significance
163,皮膚%2C皮膜,skin
